wellID,address
304582, River Street Waltham MA
304580,43 Sun Street Waltham MA
304579, Beaver Street Waltham MA
304577,9 Hope Avenue Waltham MA
252423,617 Lexington Street Waltham MA
149267,175 Wyman Street Waltham MA
147264,77 Fourth Avenue Waltham MA
145843,838 Moody Street Waltham MA
144017,99 Third Avenue Waltham MA
141382,77 Rumford Avenue Waltham MA
140911,1265 Main Street Waltham MA
140866,40 Sylvan Road Waltham MA
140861,295 Weston Street Waltham MA
140858,295 Weston Street Waltham MA
140693,1033 Trapelo Road Waltham MA
140624,1370 Main Street Waltham MA
140589,1033 Trapelo Road Waltham MA
139524,77 Fourth Avenue Waltham MA
138950,7 Lyman Terrace Waltham MA
138915,152 Grave Street Waltham MA
138854,716 Main Street Waltham MA
138838,20 Cooper Lane Waltham MA
137488,945 Moody Street Waltham MA
137467,175 Forest Street Waltham MA
137437,8-10 Lyman Street Waltham MA
137410,73 Ellison Park Waltham MA
136246,142 Grove Street Waltham MA
136225,152 High Street Waltham MA
135579,11 Terrace Waltham MA
135287,33 Curve Street Waltham MA
135081,130 Turner Street Waltham MA
134745,1006 Main Street Waltham MA
133033,99 Cedar Street Waltham MA
131071,1022 Main Street Waltham MA
131051,51 Sawyer Road Waltham MA
130975,152 High Street Waltham MA
130974,152 High Street Waltham MA
130694,838 Moody Street Waltham MA
129274,145 Newton Street Waltham MA
129019,287-289 Newton Street Waltham MA
128959,170 High Street Waltham MA
128938,135 Lexington Street Waltham MA
128658,1033 Trapelo Road Waltham MA
128612,411 Waverly Oaks Road Waltham MA
124962,11 Autumn Drive Waltham MA
123291,214 Newton Street Waltham MA
123116,56 Felton Street Waltham MA
122415,200 Trapello Road Waltham MA
121315,49-85 River Street Waltham MA
119261,131 Lexington Street Waltham MA
116674,200 Prospect Street Waltham MA
115978,411 Waverly Oaks Road Waltham MA
115942,411 Waverly Oaks Road Waltham MA
115941,411 Waverly Oaks Road Waltham MA
115940,411 Waverly Oaks Road Waltham MA
115912,41 Seyon Street Waltham MA
115909,411 Waverly Oaks Road Waltham MA
115908,411 Waverly Oaks Park Waltham MA
115856,1335 Main Street Waltham MA
115828,790 Main Street Waltham MA
115827,790 Main Street Waltham MA
114882,131 Lexington Street Waltham MA
114878,22 Felton Street Waltham MA
114758,136 Lowell Street Waltham MA
114754,740-750 Moody Street Waltham MA
114721,40 Green Street Waltham MA
113897,135R Elm Street Waltham MA
113896,45 Felton Street Waltham MA
113859,17 Fountain Street Waltham MA
113854,45 Felton Street Waltham MA
113852,20 Sun Street Waltham MA
113752,940-950 Winter Street Waltham MA
113285,455 Totten Pond Road Waltham MA
112825,213 Beaver Street Waltham MA
112667, Beaver Street Waltham MA
112664,175 Forest Street Waltham MA
112654,175 Forest Street Waltham MA
112651, Beaver Street Waltham MA
111356,800 Lexington Street Waltham MA
110795,1455 Trapello Road Waltham MA
110794,1455 Trapello Road Waltham MA
110792,1455 Trapello Road Waltham MA
110791,1455 Trapello Road Waltham MA
110790,1455 Trapello Road Waltham MA
110789,1455 Trapello Road Waltham MA
110602,241 Crescent Street Waltham MA
110579, Trapello Road Waltham MA
108950,297 Trapello Road Waltham MA
108671,60 Smith Street Waltham MA
107178,740-750 Moody Street Waltham MA
106293,140 Fourth Avenue Waltham MA
106292,790 Main Street Waltham MA
105647,117 Pidson Lane Waltham MA
105323,309 Waverly Oaks Road Waltham MA
105181, Route 95 South Waltham MA
103688,281 Winter Street Waltham MA
102242,40 Hope Street Waltham MA
102196,17 Fountain Street Waltham MA
102154,140 Fourth Street Waltham MA
101313,850 Winter Street Waltham MA
101275,59 Charles Street Waltham MA
100848,260 Lexington Street Waltham MA
100844,550 Winter Street Waltham MA
100836,20 Sun Street Waltham MA
9444,175 Forrest Street Waltham MA
9443,1435 Trapelo Road Waltham MA
5558,424 Trapelo Road Waltham MA
5029,80 Second Avenue Waltham MA
